                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.71734,                0.55124,                  1.199,                0.94034,                0.88799,                0.94119,                0.75995,                0.76811,                0.48124,                 1.3324,              0.0091882,              0.0091882,              0.0091882
                     85,                0.71089,                0.54605,                 1.1918,                0.92162,                0.91302,                0.94783,                0.75799,                0.79453,                0.49335,                 1.3486,              0.0091783,              0.0091783,              0.0091783
                     86,                0.70473,                0.54092,                 1.1885,                0.92259,                0.90678,                0.94238,                0.74929,                0.79767,                0.50189,                 1.3555,              0.0091684,              0.0091684,              0.0091684
                     87,                0.70071,                0.54303,                 1.1941,                0.92396,                0.90604,                0.94802,                0.76109,                0.75154,                0.47499,                 1.3231,              0.0091585,              0.0091585,              0.0091585
                     88,                  0.699,                0.54124,                  1.187,                0.93495,                0.90172,                0.95138,                0.75857,                0.77854,                0.48031,                 1.3447,              0.0091486,              0.0091486,              0.0091486
                     89,                0.70722,                0.54633,                 1.1865,                0.93205,                0.91326,                0.95849,                0.77545,                0.78124,                0.47318,                 1.3278,              0.0091387,              0.0091387,              0.0091387
                     90,                 0.7014,                0.53808,                 1.1805,                0.93524,                0.88495,                0.94743,                0.74555,                0.78233,                0.50299,                 1.3384,              0.0091288,              0.0091288,              0.0091288
                     91,                0.69542,                0.53825,                 1.1928,                0.91093,                0.91434,                0.95296,                0.76401,                0.77266,                0.48523,                 1.3269,              0.0091189,              0.0091189,              0.0091189
                     92,                0.69831,                 0.5409,                  1.179,                0.92453,                0.92148,                 0.9499,                0.76218,                 0.7666,                0.48085,                 1.3245,               0.009109,               0.009109,               0.009109
                     93,                0.69646,                0.53058,                 1.1743,                0.93986,                0.90991,                0.94602,                0.76558,                0.77618,                0.47261,                 1.3276,              0.0090991,              0.0090991,              0.0090991
                     94,                0.70661,                0.54343,                 1.1888,                 0.9284,                0.91016,                0.94654,                0.76601,                0.75613,                0.48369,                 1.3302,              0.0090892,              0.0090892,              0.0090892
                     95,                0.68477,                0.53766,                 1.1815,                0.92984,                0.91295,                0.95076,                0.76152,                0.74738,                0.46123,                 1.3149,              0.0090793,              0.0090793,              0.0090793
                     96,                0.68042,                0.53063,                 1.1764,                0.94142,                0.90816,                0.95441,                0.76853,                0.76671,                0.48355,                 1.3279,              0.0090694,              0.0090694,              0.0090694
                     97,                0.68036,                0.52432,                 1.1741,                0.93105,                0.91666,                0.95534,                0.78293,                0.72871,                0.45985,                 1.2916,              0.0090595,              0.0090595,              0.0090595
                     98,                0.69367,                0.52915,                 1.1885,                 0.9463,                0.92339,                0.95923,                0.77322,                0.74023,                0.45185,                 1.3059,              0.0090496,              0.0090496,              0.0090496
                     99,                0.69845,                0.54004,                 1.1861,                0.92575,                 0.9113,                0.94965,                0.75795,                 0.8009,                0.49198,                 1.3568,              0.0090397,              0.0090397,              0.0090397
                    100,                0.69168,                0.52977,                 1.1826,                0.93454,                0.90957,                0.95379,                0.76871,                0.76243,                0.47399,                 1.3205,              0.0090298,              0.0090298,              0.0090298
                    101,                0.68923,                0.52417,                 1.1771,                0.94493,                0.92216,                0.95638,                 0.7822,                0.74706,                0.45462,                 1.3042,              0.0090199,              0.0090199,              0.0090199
                    102,                0.68121,                0.52094,                 1.1706,                0.93352,                0.92639,                0.96372,                0.78438,                0.74626,                  0.452,                 1.3015,                0.00901,                0.00901,                0.00901
                    103,                0.67083,                0.51031,                 1.1633,                0.92074,                0.92787,                0.95343,                0.77251,                0.77366,                0.48574,                 1.3239,              0.0090001,              0.0090001,              0.0090001
                    104,                0.68144,                0.52363,                 1.1774,                0.92969,                0.91502,                0.95234,                0.77574,                0.75832,                0.47615,                 1.3127,              0.0089902,              0.0089902,              0.0089902
                    105,                0.68649,                0.52023,                 1.1777,                0.91838,                0.93029,                0.95646,                0.77824,                0.72822,                0.45079,                  1.281,              0.0089803,              0.0089803,              0.0089803
                    106,                0.68985,                0.52055,                 1.1767,                 0.9296,                0.90562,                  0.953,                0.77378,                0.72183,                0.46101,                 1.2844,              0.0089704,              0.0089704,              0.0089704
                    107,                0.68436,                0.52653,                 1.1755,                0.94578,                0.91854,                0.95969,                0.78424,                0.76944,                0.46404,                 1.3196,              0.0089605,              0.0089605,              0.0089605
                    108,                0.68147,                0.52519,                 1.1713,                0.92911,                0.92571,                0.95194,                0.78163,                0.74116,                0.46923,                 1.2955,              0.0089506,              0.0089506,              0.0089506
                    109,                0.66863,                0.51633,                 1.1614,                0.93378,                0.90329,                0.95226,                0.76992,                0.75632,                0.47254,                  1.301,              0.0089407,              0.0089407,              0.0089407
                    110,                0.66966,                0.51654,                  1.172,                0.92501,                0.92486,                0.95158,                0.77192,                0.75069,                0.45722,                 1.3091,              0.0089308,              0.0089308,              0.0089308
                    111,                0.67722,                 0.5116,                 1.1664,                0.93919,                 0.9239,                0.95913,                0.78055,                0.72582,                0.44973,                 1.2809,              0.0089209,              0.0089209,              0.0089209
                    112,                0.67263,                0.50518,                 1.1601,                0.93529,                0.92893,                0.95568,                0.77957,                0.74055,                0.43599,                 1.2838,               0.008911,               0.008911,               0.008911
                    113,                0.67142,                0.51022,                 1.1585,                0.91873,                0.91404,                0.95128,                0.77476,                0.75519,                0.45051,                 1.3049,              0.0089011,              0.0089011,              0.0089011
                    114,                0.67499,                0.50926,                 1.1671,                0.92315,                0.91015,                0.95044,                 0.7761,                   0.72,                0.44485,                 1.2818,              0.0088912,              0.0088912,              0.0088912
                    115,                 0.6708,                0.49924,                 1.1617,                0.91944,                0.91494,                0.94614,                0.77238,                0.71839,                0.43762,                 1.2818,              0.0088813,              0.0088813,              0.0088813
                    116,                0.65665,                0.50786,                 1.1581,                0.92571,                 0.9315,                0.95272,                0.78082,                0.72108,                0.43923,                 1.2835,              0.0088714,              0.0088714,              0.0088714
                    117,                0.67369,                0.50654,                 1.1628,                0.94365,                0.92062,                0.95289,                0.77613,                0.75478,                0.44922,                 1.3089,              0.0088615,              0.0088615,              0.0088615
                    118,                0.66603,                0.50967,                 1.1661,                0.94742,                0.90515,                0.95392,                0.79175,                  0.715,                0.43343,                 1.2737,              0.0088516,              0.0088516,              0.0088516
                    119,                0.66386,                0.49795,                 1.1561,                0.94858,                 0.9232,                0.95542,                0.78883,                0.73058,                0.44343,                 1.2866,              0.0088417,              0.0088417,              0.0088417
                    120,                0.65476,                0.49092,                 1.1544,                0.92164,                 0.9306,                0.95863,                0.79142,                0.70581,                0.42562,                 1.2726,              0.0088318,              0.0088318,              0.0088318
                    121,                0.66656,                0.50337,                 1.1659,                0.93801,                0.92271,                0.95558,                0.79472,                0.72846,                0.43707,                 1.2893,              0.0088219,              0.0088219,              0.0088219
                    122,                 0.6501,                0.49078,                 1.1498,                0.93216,                0.93029,                0.96176,                0.79676,                0.72027,                0.42408,                 1.2854,               0.008812,               0.008812,               0.008812
                    123,                0.65545,                0.49548,                 1.1504,                0.92957,                0.90674,                0.95561,                0.79879,                0.71319,                0.42388,                   1.27,              0.0088021,              0.0088021,              0.0088021
                    124,                0.65438,                 0.4956,                 1.1503,                0.93112,                0.91452,                0.95448,                0.78929,                0.72695,                 0.4392,                 1.2825,              0.0087922,              0.0087922,              0.0087922
                    125,                0.64299,                0.48685,                  1.147,                 0.9476,                0.90791,                0.95769,                0.78679,                0.70656,                0.42847,                  1.262,              0.0087823,              0.0087823,              0.0087823
                    126,                0.65156,                0.49205,                 1.1483,                0.92157,                0.93165,                0.95541,                0.78211,                0.71299,                0.42807,                 1.2708,              0.0087724,              0.0087724,              0.0087724
                    127,                0.66006,                0.49267,                 1.1574,                0.91403,                0.94461,                0.95788,                0.79531,                0.69544,                0.42667,                 1.2609,              0.0087625,              0.0087625,              0.0087625
                    128,                0.64638,                0.48976,                 1.1559,                0.93076,                0.90501,                0.95565,                0.79346,                0.69672,                0.42195,                 1.2587,              0.0087526,              0.0087526,              0.0087526
                    129,                0.64587,                0.48579,                 1.1448,                0.94163,                 0.9174,                0.95819,                0.80774,                 0.6902,                0.42234,                 1.2562,              0.0087427,              0.0087427,              0.0087427
                    130,                0.64954,                0.49158,                 1.1454,                  0.919,                0.94973,                0.95941,                0.80581,                0.69652,                0.42007,                 1.2507,              0.0087328,              0.0087328,              0.0087328
                    131,                0.63532,                0.47641,                 1.1374,                0.91147,                0.94916,                0.95754,                0.80528,                0.70485,                0.43437,                 1.2586,              0.0087229,              0.0087229,              0.0087229
                    132,                0.64509,                0.48138,                 1.1449,                0.91661,                 0.9306,                0.95635,                0.79978,                0.68462,                0.40714,                 1.2394,               0.008713,               0.008713,               0.008713
                    133,                0.64726,                0.48921,                 1.1484,                0.92841,                0.94174,                 0.9637,                0.80747,                0.69557,                0.42492,                 1.2497,              0.0087031,              0.0087031,              0.0087031
                    134,                0.64274,                0.48012,                 1.1465,                0.92739,                0.92833,                0.95372,                0.80381,                0.69437,                0.42262,                 1.2579,              0.0086932,              0.0086932,              0.0086932
                    135,                0.64933,                 0.4776,                 1.1503,                0.93318,                0.92755,                0.95693,                0.79435,                0.70119,                0.41466,                 1.2609,              0.0086833,              0.0086833,              0.0086833
                    136,                 0.6353,                0.47838,                 1.1397,                0.94048,                0.92022,                 0.9549,                0.78706,                0.71035,                0.42715,                 1.2625,              0.0086734,              0.0086734,              0.0086734
                    137,                  0.649,                0.48627,                 1.1445,                0.93109,                0.93296,                0.96199,                0.80463,                 0.6913,                0.41027,                 1.2488,              0.0086635,              0.0086635,              0.0086635
                    138,                0.64672,                0.48264,                 1.1502,                0.92587,                0.92145,                0.95824,                0.80329,                0.68842,                0.41609,                 1.2501,              0.0086536,              0.0086536,              0.0086536
                    139,                0.64163,                0.48252,                  1.142,                0.94579,                0.91836,                0.95485,                0.79946,                0.68882,                0.41119,                 1.2583,              0.0086437,              0.0086437,              0.0086437
                    140,                0.64443,                0.47593,                 1.1467,                0.95105,                0.93938,                0.96218,                0.81345,                0.68171,                0.40165,                 1.2433,              0.0086338,              0.0086338,              0.0086338
                    141,                0.63708,                0.47818,                 1.1419,                0.94951,                 0.9214,                0.96288,                0.80456,                 0.6969,                0.41212,                  1.258,              0.0086239,              0.0086239,              0.0086239
                    142,                0.64265,                0.48458,                 1.1476,                0.94511,                0.93639,                0.96454,                0.80555,                 0.6918,                0.40792,                 1.2556,               0.008614,               0.008614,               0.008614
                    143,                0.63581,                0.47812,                 1.1396,                0.94156,                0.94026,                0.96542,                 0.8049,                0.69622,                0.39845,                 1.2607,              0.0086041,              0.0086041,              0.0086041
                    144,                 0.6392,                0.47627,                 1.1413,                0.93517,                0.94243,                0.96279,                0.81009,                0.67749,                 0.3947,                 1.2455,              0.0085942,              0.0085942,              0.0085942
                    145,                0.63098,                0.47314,                 1.1359,                 0.9305,                0.93926,                0.96267,                0.80759,                0.69007,                0.41088,                 1.2464,              0.0085843,              0.0085843,              0.0085843
                    146,                0.63767,                0.47305,                 1.1427,                0.94734,                0.93023,                0.96663,                0.80679,                0.68915,                0.40338,                 1.2419,              0.0085744,              0.0085744,              0.0085744
                    147,                0.63514,                 0.4757,                 1.1431,                0.95133,                0.92873,                0.96633,                0.80794,                 0.6869,                0.40043,                 1.2474,              0.0085645,              0.0085645,              0.0085645
                    148,                0.62932,                0.46858,                 1.1313,                0.95368,                0.93876,                0.96577,                0.80501,                0.68376,                0.40243,                 1.2488,              0.0085546,              0.0085546,              0.0085546
                    149,                0.63136,                0.46991,                 1.1368,                0.94823,                0.94696,                0.96905,                 0.8144,                 0.6756,                0.39433,                 1.2318,              0.0085447,              0.0085447,              0.0085447
                    150,                0.63245,                0.47512,                 1.1387,                0.94184,                0.93736,                0.96419,                0.81491,                0.65301,                0.39459,                 1.2197,              0.0085348,              0.0085348,              0.0085348
                    151,                0.62913,                0.46752,                 1.1413,                0.94735,                 0.9347,                0.96193,                0.81015,                0.66546,                0.40254,                 1.2257,              0.0085249,              0.0085249,              0.0085249
                    152,                0.63443,                0.45975,                 1.1336,                0.93764,                0.93336,                0.96159,                0.80997,                0.66308,                0.39302,                 1.2245,               0.008515,               0.008515,               0.008515
